"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","date"
"2019-05-23",126.199997,126.290001,124.739998,126.18,23603800,123.450867,2019-05-23
"2019-05-24",126.910004,127.419998,125.970001,126.239998,14123400,123.509567,2019-05-24
"2019-05-28",126.980003,128,126.050003,126.160004,23128400,123.431305,2019-05-28
"2019-05-29",125.379997,125.389999,124.040001,124.940002,22763100,122.237686,2019-05-29
"2019-05-30",125.260002,125.760002,124.779999,125.730003,16829600,123.010597,2019-05-30
"2019-05-31",124.230003,124.620003,123.32,123.68,26646800,121.004944,2019-05-31
"2019-06-03",123.849998,124.370003,119.010002,119.839996,37983600,117.247993,2019-06-03
"2019-06-04",121.279999,123.279999,120.650002,123.160004,29382600,120.496185,2019-06-04
"2019-06-05",124.949997,125.870003,124.209999,125.830002,24926100,123.108437,2019-06-05
"2019-06-06",126.440002,127.970001,125.599998,127.82,21459000,125.055389,2019-06-06
"2019-06-07",129.190002,132.25,128.259995,131.399994,33885600,128.557953,2019-06-07
"2019-06-10",132.399994,134.080002,132,132.600006,26477100,129.732025,2019-06-10
"2019-06-11",133.880005,134.240005,131.279999,132.100006,23913700,129.242813,2019-06-11
"2019-06-12",131.399994,131.970001,130.710007,131.490005,17092500,128.646027,2019-06-12
"2019-06-13",131.979996,133,131.559998,132.320007,17200800,129.458069,2019-06-13
"2019-06-14",132.259995,133.789993,131.639999,132.449997,17821700,129.585251,2019-06-14
"2019-06-17",132.630005,133.729996,132.529999,132.850006,14517800,129.976608,2019-06-17
"2019-06-18",134.190002,135.240005,133.570007,135.160004,25934500,132.236633,2019-06-18
"2019-06-19",135,135.929993,133.809998,135.690002,23744400,132.755188,2019-06-19
"2019-06-20",137.449997,137.660004,135.720001,136.949997,33042600,133.987885,2019-06-20
"2019-06-21",136.580002,137.729996,136.460007,136.970001,36727900,134.007477,2019-06-21
"2019-06-24",137,138.399994,137,137.779999,20628800,134.799957,2019-06-24
"2019-06-25",137.25,137.589996,132.729996,133.429993,33327400,130.544037,2019-06-25
"2019-06-26",134.350006,135.740005,133.600006,133.929993,23657700,131.033249,2019-06-26
"2019-06-27",134.139999,134.710007,133.509995,134.149994,16557500,131.248459,2019-06-27
"2019-06-28",134.570007,134.600006,133.160004,133.960007,30043000,131.062592,2019-06-28
"2019-07-01",136.630005,136.699997,134.970001,135.679993,22613500,132.745392,2019-07-01
"2019-07-02",136.119995,136.589996,135.339996,136.580002,15237800,133.6259,2019-07-02
"2019-07-03",136.800003,137.740005,136.289993,137.460007,13629300,134.486893,2019-07-03
"2019-07-05",135.940002,137.330002,135.720001,137.059998,18141100,134.095535,2019-07-05
"2019-07-08",136.399994,137.100006,135.369995,136.960007,16779700,133.997711,2019-07-08
"2019-07-09",136,136.970001,135.800003,136.460007,19953100,133.508514,2019-07-09
"2019-07-10",137.130005,138.580002,137.020004,137.850006,24204400,134.868484,2019-07-10
"2019-07-11",138.199997,139.220001,137.869995,138.399994,22327900,135.40657,2019-07-11
"2019-07-12",138.850006,139.130005,138.009995,138.899994,18936800,135.895737,2019-07-12
"2019-07-15",139.440002,139.539993,138.460007,138.899994,16651500,135.895737,2019-07-15
"2019-07-16",138.960007,139.050003,136.520004,137.080002,22726100,134.115097,2019-07-16
"2019-07-17",137.699997,137.929993,136.220001,136.270004,20211000,133.322647,2019-07-17
"2019-07-18",135.550003,136.619995,134.669998,136.419998,30381800,133.469391,2019-07-18
"2019-07-19",140.220001,140.669998,136.449997,136.619995,48992400,133.665039,2019-07-19
"2019-07-22",137.410004,139.190002,137.330002,138.429993,25074900,135.435883,2019-07-22
"2019-07-23",139.759995,139.990005,138.029999,139.289993,18034600,136.277313,2019-07-23
"2019-07-24",138.899994,140.740005,138.850006,140.720001,20738300,137.676376,2019-07-24
"2019-07-25",140.429993,140.610001,139.320007,140.190002,18356900,137.157837,2019-07-25
"2019-07-26",140.369995,141.679993,140.300003,141.339996,19037600,138.282959,2019-07-26
"2019-07-29",141.5,141.509995,139.369995,141.029999,16605900,137.979691,2019-07-29
"2019-07-30",140.139999,141.220001,139.800003,140.350006,16846500,137.314392,2019-07-30
"2019-07-31",140.330002,140.490005,135.080002,136.270004,38598800,133.322647,2019-07-31
"2019-08-01",137,140.940002,136.929993,138.059998,40557500,135.073898,2019-08-01
"2019-08-02",138.089996,138.320007,135.259995,136.899994,30791600,133.938995,2019-08-02
"2019-08-05",133.300003,133.929993,130.779999,132.210007,42749600,129.350449,2019-08-05
"2019-08-06",133.800003,135.679993,133.210007,134.690002,32696700,131.77681,2019-08-06
"2019-08-07",133.789993,135.649994,131.830002,135.279999,33414500,132.354004,2019-08-07
"2019-08-08",136.600006,138.990005,135.929993,138.889999,27496500,135.885956,2019-08-08
"2019-08-09",138.610001,139.380005,136.460007,137.710007,23466700,134.731506,2019-08-09
"2019-08-12",137.070007,137.860001,135.240005,135.789993,20484300,132.852997,2019-08-12
"2019-08-13",136.050003,138.800003,135,138.600006,25154600,135.602249,2019-08-13
"2019-08-14",136.360001,136.919998,133.669998,133.979996,32527300,131.518661,2019-08-14
"2019-08-15",134.389999,134.580002,132.25,133.679993,28074400,131.224167,2019-08-15
"2019-08-16",134.880005,136.460007,134.720001,136.130005,24449100,133.629166,2019-08-16
"2019-08-19",137.850006,138.550003,136.889999,138.410004,24355700,135.867294,2019-08-19
"2019-08-20",138.210007,138.710007,137.240005,137.259995,21170800,134.738419,2019-08-20
"2019-08-21",138.550003,139.490005,138,138.789993,14970300,136.240295,2019-08-21
"2019-08-22",138.660004,139.199997,136.289993,137.779999,18697000,135.24884,2019-08-22
"2019-08-23",137.190002,138.350006,132.800003,133.389999,38508600,130.939484,2019-08-23
"2019-08-26",134.990005,135.559998,133.899994,135.449997,20312600,132.961655,2019-08-26
"2019-08-27",136.389999,136.720001,134.660004,135.740005,23102100,133.246323,2019-08-27
"2019-08-28",134.880005,135.759995,133.550003,135.559998,17393300,133.069611,2019-08-28
"2019-08-29",137.25,138.440002,136.910004,138.119995,20168700,135.582581,2019-08-29
"2019-08-30",139.149994,139.179993,136.270004,137.860001,23940100,135.327377,2019-08-30
"2019-09-03",136.610001,137.199997,135.699997,136.039993,18869300,133.540802,2019-09-03
"2019-09-04",137.300003,137.690002,136.479996,137.630005,17995900,135.101593,2019-09-04
"2019-09-05",139.110001,140.380005,138.759995,140.050003,26101800,137.477158,2019-09-05
"2019-09-06",140.029999,140.179993,138.199997,139.100006,20824500,136.544586,2019-09-06
"2019-09-09",139.589996,139.75,136.460007,137.520004,25773900,134.993637,2019-09-09
"2019-09-10",136.800003,136.889999,134.509995,136.080002,28903400,133.580078,2019-09-10
"2019-09-11",135.910004,136.270004,135.089996,136.119995,24726100,133.619324,2019-09-11
"2019-09-12",137.850006,138.419998,136.869995,137.520004,27010000,134.993637,2019-09-12
"2019-09-13",137.779999,138.059998,136.570007,137.320007,23363100,134.797302,2019-09-13
"2019-09-16",135.830002,136.699997,135.660004,136.330002,16731400,133.825485,2019-09-16
"2019-09-17",136.960007,137.520004,136.429993,137.389999,17814200,134.865997,2019-09-17
"2019-09-18",137.360001,138.669998,136.529999,138.520004,23982100,135.97525,2019-09-18
"2019-09-19",140.300003,142.369995,140.070007,141.070007,35772100,138.478409,2019-09-19
"2019-09-20",141.009995,141.649994,138.25,139.440002,39167300,136.878342,2019-09-20
"2019-09-23",139.229996,139.630005,138.440002,139.139999,17139300,136.583862,2019-09-23
"2019-09-24",140.360001,140.690002,136.880005,137.380005,29773200,134.856216,2019-09-24
"2019-09-25",137.5,139.960007,136.029999,139.360001,21382000,136.79982,2019-09-25
"2019-09-26",139.440002,140.179993,138.440002,139.539993,17456600,136.976501,2019-09-26
"2019-09-27",140.149994,140.360001,136.649994,137.729996,22477700,135.199753,2019-09-27
"2019-09-30",138.050003,139.220001,137.779999,139.029999,17280900,136.475876,2019-09-30
"2019-10-01",139.660004,140.25,137,137.070007,21466600,134.55191,2019-10-01
"2019-10-02",136.25,136.369995,133.580002,134.649994,30521700,132.176331,2019-10-02
"2019-10-03",134.949997,136.75,133.220001,136.279999,24132900,133.776413,2019-10-03
"2019-10-04",136.75,138.25,136.419998,138.119995,22897700,135.582581,2019-10-04
"2019-10-07",137.139999,138.179993,137.020004,137.119995,15303700,134.600967,2019-10-07
"2019-10-08",137.080002,137.759995,135.619995,135.669998,25550500,133.177612,2019-10-08
"2019-10-09",137.460007,138.699997,136.970001,138.240005,19749900,135.700409,2019-10-09
"2019-10-10",138.490005,139.669998,138.25,139.100006,17654600,136.544586,2019-10-10
"2019-10-11",140.119995,141.029999,139.5,139.679993,25446000,137.113937,2019-10-11
